PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH,COVID_PERIOD,DATE
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,5,Before Covid,2018-05-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,6,Before Covid,2018-06-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,3,7,Before Covid,2018-07-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,3,8,Before Covid,2018-08-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,3,9,Before Covid,2018-09-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,4,10,Before Covid,2018-10-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,4,11,Before Covid,2018-11-01
0.0,167.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,2,5,Before Covid,2018-05-01
0.0,167.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,3,9,Before Covid,2018-09-01
0.0,167.0,KAQ,Kalitta Air LLC,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,5,Before Covid,2018-05-01
0.0,170.0,FX,Federal Express Corporation,10654,BKW,"Beckley, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,9,Before Covid,2018-09-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,1,1,Before Covid,2018-01-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,1,2,Before Covid,2018-02-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,1,3,Before Covid,2018-03-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,2,4,Before Covid,2018-04-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,2,5,Before Covid,2018-05-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,2,6,Before Covid,2018-06-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,3,7,Before Covid,2018-07-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,3,8,Before Covid,2018-08-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,3,9,Before Covid,2018-09-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,4,10,Before Covid,2018-10-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,4,11,Before Covid,2018-11-01
0.0,179.0,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,4,12,Before Covid,2018-12-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,1,Before Covid,2018-01-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,2,Before Covid,2018-02-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,3,Before Covid,2018-03-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,2,4,Before Covid,2018-04-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,2,5,Before Covid,2018-05-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,2,6,Before Covid,2018-06-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,3,7,Before Covid,2018-07-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,3,8,Before Covid,2018-08-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,3,9,Before Covid,2018-09-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,4,10,Before Covid,2018-10-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,4,11,Before Covid,2018-11-01
0.0,179.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,4,12,Before Covid,2018-12-01
0.0,180.0,KD,Western Global,12917,LCK,"Columbus, OH",OH,12021,GUS,"Peru, IN",IN,2018,1,2,Before Covid,2018-02-01
0.0,180.0,KD,Western Global,12917,LCK,"Columbus, OH",OH,12021,GUS,"Peru, IN",IN,2018,1,3,Before Covid,2018-03-01
0.0,182.0,27Q,"Jet Aviation Flight Services, Inc.",11066,CMH,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,3,Before Covid,2018-03-01
0.0,182.0,C5,CommuteAir LLC dba CommuteAir,11066,CMH,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,2,4,Before Covid,2018-04-01
0.0,182.0,C5,CommuteAir LLC dba CommuteAir,11066,CMH,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,2,5,Before Covid,2018-05-01
0.0,182.0,C5,CommuteAir LLC dba CommuteAir,12339,IND,"Indianapolis, IN",IN,11066,CMH,"Columbus, OH",OH,2018,2,4,Before Covid,2018-04-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,1,1,Before Covid,2018-01-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,1,2,Before Covid,2018-02-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,1,3,Before Covid,2018-03-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,2,4,Before Covid,2018-04-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,2,5,Before Covid,2018-05-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,2,6,Before Covid,2018-06-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,3,7,Before Covid,2018-07-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,3,8,Before Covid,2018-08-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,3,9,Before Covid,2018-09-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,4,10,Before Covid,2018-10-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,4,11,Before Covid,2018-11-01
0.0,189.0,5X,United Parcel Service,12917,LCK,"Columbus, OH",OH,14730,SDF,"Louisville, KY",KY,2018,4,12,Before Covid,2018-12-01
0.0,189.0,5X,United Parcel Service,14730,SDF,"Louisville, KY",KY,12917,LCK,"Columbus, OH",OH,2018,1,1,Before Covid,2018-01-01
0.0,189.0,5X,United Parcel Service,14730,SDF,"Louisville, KY",KY,12917,LCK,"Columbus, OH",OH,2018,1,2,Before Covid,2018-02-01
0.0,189.0,5X,United Parcel Service,14730,SDF,"Louisville, KY",KY,12917,LCK,"Columbus, OH",OH,2018,1,3,Before Covid,2018-03-01
0.0,189.0,5X,United Parcel Service,14730,SDF,"Louisville, KY",KY,12917,LCK,"Columbus, OH",OH,2018,2,4,Before Covid,2018-04-01
