TimeKey,CarrierKey,OriginKey,DestKey,PASSENGERS,DISTANCE
2018-07-01,85,12348,11066,0.0,304.0
2018-11-01,11,11995,12917,0.0,304.0
2018-10-01,87,11066,15271,0.0,307.0
2018-10-01,87,15271,11066,0.0,307.0
2018-03-01,11,10792,12917,0.0,307.0
2018-01-01,11,12917,10792,0.0,307.0
2018-09-01,345,11376,11066,0.0,310.0
2018-09-01,346,11376,11066,0.0,310.0
2018-01-01,85,11066,11995,0.0,313.0
2018-03-01,85,11995,11066,0.0,313.0
2018-10-01,67,11995,11066,0.0,313.0
2018-03-01,85,13230,11066,0.0,325.0
2018-03-01,67,11066,13230,0.0,325.0
2018-11-01,11,13230,12917,0.0,328.0
2018-12-01,11,13230,12917,0.0,328.0
2018-09-01,91,13461,12917,0.0,328.0
2018-03-01,91,11066,13342,0.0,330.0
2018-10-01,60,12917,11057,0.0,335.0
2018-02-01,85,10693,11066,0.0,337.0
2018-11-01,85,11066,10693,0.0,337.0
2018-05-01,99,12917,13342,0.0,337.0
2018-07-01,11,12917,10821,0.0,337.0
2018-01-01,11,13342,12917,0.0,337.0
2018-05-01,11,13342,12917,0.0,337.0
2018-02-01,92,11066,13461,0.0,339.0
2018-04-01,87,13537,11066,0.0,341.0
2018-01-01,11,14524,12917,0.0,342.0
2018-02-01,11,14524,12917,0.0,342.0
2018-03-01,11,14524,12917,0.0,342.0
2018-04-01,11,14524,12917,0.0,342.0
2018-05-01,11,14524,12917,0.0,342.0
2018-06-01,11,14524,12917,0.0,342.0
2018-07-01,11,14524,12917,0.0,342.0
2018-08-01,11,14524,12917,0.0,342.0
2018-09-01,11,14524,12917,0.0,342.0
2018-10-01,11,14524,12917,0.0,342.0
2018-11-01,11,14524,12917,0.0,342.0
2018-12-01,11,14524,12917,0.0,342.0
2018-03-01,67,14524,11066,0.0,347.0
2018-02-01,11,14492,12917,0.0,353.0
2018-04-01,11,14492,12917,0.0,353.0
2018-06-01,11,14492,12917,0.0,353.0
2018-07-01,11,14492,12917,0.0,353.0
2018-08-01,11,14492,12917,0.0,353.0
2018-09-01,11,14492,12917,0.0,353.0
2018-11-01,11,14492,12917,0.0,353.0
2018-02-01,91,12917,14492,0.0,353.0
